"fkMaquina","fkComponte","dataEhora","valor","unidadeDeMedida"
1,3,2022-01-01,78.9,"%"
1,3,2022-01-02,78.941958041958,"%"
1,3,2022-01-03,78.9839160839161,"%"
1,3,2022-01-04,79.0258741258741,"%"
1,3,2022-01-05,79.0678321678322,"%"
1,3,2022-01-06,79.1097902097902,"%"
1,3,2022-01-07,79.1517482517483,"%"
1,3,2022-01-08,79.1937062937063,"%"
1,3,2022-01-09,79.2356643356643,"%"
1,3,2022-01-10,79.2776223776224,"%"
1,3,2022-01-11,79.3195804195804,"%"
1,3,2022-01-12,79.3615384615385,"%"
1,3,2022-01-13,79.4034965034965,"%"
1,3,2022-01-14,79.4454545454546,"%"
1,3,2022-01-15,79.4874125874126,"%"
1,3,2022-01-16,79.5293706293706,"%"
1,3,2022-01-17,79.5713286713287,"%"
1,3,2022-01-18,79.6132867132867,"%"
1,3,2022-01-19,79.6552447552448,"%"
1,3,2022-01-20,79.6972027972028,"%"
1,3,2022-01-21,79.7391608391608,"%"
1,3,2022-01-22,79.7811188811189,"%"
1,3,2022-01-23,79.8230769230769,"%"
1,3,2022-01-24,79.865034965035,"%"
1,3,2022-01-25,79.906993006993,"%"
1,3,2022-01-26,79.9489510489511,"%"
1,3,2022-01-27,79.9909090909091,"%"
1,3,2022-01-28,80.0328671328671,"%"
1,3,2022-01-29,80.0748251748252,"%"
1,3,2022-01-30,80.1167832167832,"%"
1,3,2022-01-31,80.1587412587413,"%"
1,3,2022-02-01,80.2006993006993,"%"
1,3,2022-02-02,80.2426573426574,"%"
1,3,2022-02-03,80.2846153846154,"%"
1,3,2022-02-04,80.3265734265734,"%"
1,3,2022-02-05,80.3685314685315,"%"
1,3,2022-02-06,80.4104895104895,"%"
1,3,2022-02-07,80.4524475524476,"%"
1,3,2022-02-08,80.4944055944056,"%"
1,3,2022-02-09,80.5363636363636,"%"
1,3,2022-02-10,80.5783216783217,"%"
1,3,2022-02-11,80.6202797202797,"%"
1,3,2022-02-12,80.6622377622378,"%"
1,3,2022-02-13,80.7041958041958,"%"
1,3,2022-02-14,80.7461538461538,"%"
1,3,2022-02-15,80.7881118881119,"%"
1,3,2022-02-16,80.8300699300699,"%"
1,3,2022-02-17,80.872027972028,"%"
1,3,2022-02-18,80.913986013986,"%"
1,3,2022-02-19,80.9559440559441,"%"
1,3,2022-02-20,80.9979020979021,"%"
1,3,2022-02-21,81.0398601398601,"%"
1,3,2022-02-22,81.0818181818182,"%"
1,3,2022-02-23,81.1237762237762,"%"
1,3,2022-02-24,81.1657342657343,"%"
1,3,2022-02-25,81.2076923076923,"%"
1,3,2022-02-26,81.2496503496504,"%"
1,3,2022-02-27,81.2916083916084,"%"
1,3,2022-02-28,81.3335664335664,"%"
1,3,2022-03-01,81.3755244755245,"%"
1,3,2022-03-02,81.4174825174825,"%"
1,3,2022-03-03,81.4594405594406,"%"
1,3,2022-03-04,81.5013986013986,"%"
1,3,2022-03-05,81.5433566433566,"%"
1,3,2022-03-06,81.5853146853147,"%"
1,3,2022-03-07,81.6272727272727,"%"
1,3,2022-03-08,81.6692307692308,"%"
1,3,2022-03-09,81.7111888111888,"%"
1,3,2022-03-10,81.7531468531469,"%"
1,3,2022-03-11,81.7951048951049,"%"
1,3,2022-03-12,81.8370629370629,"%"
1,3,2022-03-13,81.879020979021,"%"
1,3,2022-03-14,81.920979020979,"%"
1,3,2022-03-15,81.9629370629371,"%"
1,3,2022-03-16,82.0048951048951,"%"
1,3,2022-03-17,82.0468531468532,"%"
1,3,2022-03-18,82.0888111888112,"%"
1,3,2022-03-19,82.1307692307692,"%"
1,3,2022-03-20,82.1727272727273,"%"
1,3,2022-03-21,82.2146853146853,"%"
1,3,2022-03-22,82.2566433566434,"%"
1,3,2022-03-23,82.2986013986014,"%"
1,3,2022-03-24,82.3405594405594,"%"
1,3,2022-03-25,82.3825174825175,"%"
1,3,2022-03-26,82.4244755244755,"%"
1,3,2022-03-27,82.4664335664336,"%"
1,3,2022-03-28,82.5083916083916,"%"
1,3,2022-03-29,82.5503496503497,"%"
1,3,2022-03-30,82.5923076923077,"%"
1,3,2022-03-31,82.6342657342657,"%"
1,3,2022-04-01,82.6762237762238,"%"
1,3,2022-04-02,82.7181818181818,"%"
1,3,2022-04-03,82.7601398601399,"%"
1,3,2022-04-04,82.8020979020979,"%"
1,3,2022-04-05,82.844055944056,"%"
1,3,2022-04-06,82.886013986014,"%"
1,3,2022-04-07,82.927972027972,"%"
1,3,2022-04-08,82.9699300699301,"%"
1,3,2022-04-09,83.0118881118881,"%"
1,3,2022-04-10,83.0538461538462,"%"
1,3,2022-04-11,83.0958041958042,"%"
1,3,2022-04-12,83.1377622377622,"%"
1,3,2022-04-13,83.1797202797203,"%"
1,3,2022-04-14,83.2216783216783,"%"
1,3,2022-04-15,83.2636363636364,"%"
1,3,2022-04-16,83.3055944055944,"%"
1,3,2022-04-17,83.3475524475525,"%"
1,3,2022-04-18,83.3895104895105,"%"
1,3,2022-04-19,83.4314685314685,"%"
1,3,2022-04-20,83.4734265734266,"%"
1,3,2022-04-21,83.5153846153846,"%"
1,3,2022-04-22,83.5573426573427,"%"
1,3,2022-04-23,83.5993006993007,"%"
1,3,2022-04-24,83.6412587412588,"%"
1,3,2022-04-25,83.6832167832168,"%"
1,3,2022-04-26,83.7251748251748,"%"
1,3,2022-04-27,83.7671328671329,"%"
1,3,2022-04-28,83.8090909090909,"%"
1,3,2022-04-29,83.851048951049,"%"
1,3,2022-04-30,83.893006993007,"%"
1,3,2022-05-01,83.934965034965,"%"
1,3,2022-05-02,83.9769230769231,"%"
1,3,2022-05-03,84.0188811188811,"%"
1,3,2022-05-04,84.0608391608392,"%"
1,3,2022-05-05,84.1027972027972,"%"
1,3,2022-05-06,84.1447552447552,"%"
1,3,2022-05-07,84.1867132867133,"%"
1,3,2022-05-08,84.2286713286713,"%"
1,3,2022-05-09,84.2706293706294,"%"
1,3,2022-05-10,84.3125874125874,"%"
1,3,2022-05-11,84.3545454545455,"%"
1,3,2022-05-12,84.3965034965035,"%"
1,3,2022-05-13,84.4384615384615,"%"
1,3,2022-05-14,84.4804195804196,"%"
1,3,2022-05-15,84.5223776223776,"%"
1,3,2022-05-16,84.5643356643357,"%"
1,3,2022-05-17,84.6062937062937,"%"
1,3,2022-05-18,84.6482517482518,"%"
1,3,2022-05-19,84.6902097902098,"%"
1,3,2022-05-20,84.7321678321678,"%"
1,3,2022-05-21,84.7741258741259,"%"
1,3,2022-05-22,84.8160839160839,"%"
1,3,2022-05-23,84.858041958042,"%"
1,3,2022-05-24,84.9,"%"
1,3,2022-05-25,84.941958041958,"%"
1,3,2022-05-26,84.9839160839161,"%"
1,3,2022-05-27,85.0258741258741,"%"
1,3,2022-05-28,85.0678321678322,"%"
1,3,2022-05-29,85.1097902097902,"%"
1,3,2022-05-30,85.1517482517483,"%"
1,3,2022-05-31,85.1937062937063,"%"
1,3,2022-06-01,85.2356643356643,"%"
1,3,2022-06-02,85.2776223776224,"%"
1,3,2022-06-03,85.3195804195804,"%"
1,3,2022-06-04,85.3615384615385,"%"
1,3,2022-06-05,85.4034965034965,"%"
1,3,2022-06-06,85.4454545454546,"%"
1,3,2022-06-07,85.4874125874126,"%"
1,3,2022-06-08,85.5293706293706,"%"
1,3,2022-06-09,85.5713286713287,"%"
1,3,2022-06-10,85.6132867132867,"%"
1,3,2022-06-11,85.6552447552448,"%"
1,3,2022-06-12,85.6972027972028,"%"
1,3,2022-06-13,85.7391608391608,"%"
1,3,2022-06-14,85.7811188811189,"%"
1,3,2022-06-15,85.8230769230769,"%"
1,3,2022-06-16,85.865034965035,"%"
1,3,2022-06-17,85.906993006993,"%"
1,3,2022-06-18,85.9489510489511,"%"
1,3,2022-06-19,85.9909090909091,"%"
1,3,2022-06-20,86.0328671328671,"%"
1,3,2022-06-21,86.0748251748252,"%"
1,3,2022-06-22,86.1167832167832,"%"
1,3,2022-06-23,86.1587412587413,"%"
