"fkMaquina","fkComponte","dataEhora","valor","unidadeDeMedida"
1,2,2022-01-01,64.4,"%"
1,2,2022-01-02,48.4,"%"
1,2,2022-01-03,84.4,"%"
1,2,2022-01-04,47.4,"%"
1,2,2022-01-05,36.4,"%"
1,2,2022-01-06,75.4,"%"
1,2,2022-01-07,83.4,"%"
1,2,2022-01-08,87.4,"%"
1,2,2022-01-09,76.4,"%"
1,2,2022-01-10,70.4,"%"
1,2,2022-01-11,85.4,"%"
1,2,2022-01-12,47.4,"%"
1,2,2022-01-13,87.4,"%"
1,2,2022-01-14,58.4,"%"
1,2,2022-01-15,59.4,"%"
1,2,2022-01-16,60.4,"%"
1,2,2022-01-17,38.4,"%"
1,2,2022-01-18,84.4,"%"
1,2,2022-01-19,60.4,"%"
1,2,2022-01-20,61.4,"%"
1,2,2022-01-21,42.4,"%"
1,2,2022-01-22,62.4,"%"
1,2,2022-01-23,68.4,"%"
1,2,2022-01-24,41.4,"%"
1,2,2022-01-25,59.4,"%"
1,2,2022-01-26,40.4,"%"
1,2,2022-01-27,75.4,"%"
1,2,2022-01-28,42.4,"%"
1,2,2022-01-29,52.4,"%"
1,2,2022-01-30,69.4,"%"
1,2,2022-01-31,47.4,"%"
1,2,2022-02-01,50.4,"%"
1,2,2022-02-02,76.4,"%"
1,2,2022-02-03,72.4,"%"
1,2,2022-02-04,86.4,"%"
1,2,2022-02-05,45.4,"%"
1,2,2022-02-06,48.4,"%"
1,2,2022-02-07,65.4,"%"
1,2,2022-02-08,75.4,"%"
1,2,2022-02-09,78.4,"%"
1,2,2022-02-10,40.4,"%"
1,2,2022-02-11,42.4,"%"
1,2,2022-02-12,74.4,"%"
1,2,2022-02-13,43.4,"%"
1,2,2022-02-14,56.4,"%"
1,2,2022-02-15,60.4,"%"
1,2,2022-02-16,86.4,"%"
1,2,2022-02-17,40.4,"%"
1,2,2022-02-18,86.4,"%"
1,2,2022-02-19,60.4,"%"
1,2,2022-02-20,65.4,"%"
1,2,2022-02-21,71.4,"%"
1,2,2022-02-22,58.4,"%"
1,2,2022-02-23,67.4,"%"
1,2,2022-02-24,62.4,"%"
1,2,2022-02-25,38.4,"%"
1,2,2022-02-26,41.4,"%"
1,2,2022-02-27,45.4,"%"
1,2,2022-02-28,46.4,"%"
1,2,2022-03-01,51.4,"%"
1,2,2022-03-02,66.4,"%"
1,2,2022-03-03,60.4,"%"
1,2,2022-03-04,58.4,"%"
1,2,2022-03-05,71.4,"%"
1,2,2022-03-06,54.4,"%"
1,2,2022-03-07,48.4,"%"
1,2,2022-03-08,74.4,"%"
1,2,2022-03-09,80.4,"%"
1,2,2022-03-10,59.4,"%"
1,2,2022-03-11,64.4,"%"
1,2,2022-03-12,49.4,"%"
1,2,2022-03-13,85.4,"%"
1,2,2022-03-14,63.4,"%"
1,2,2022-03-15,39.4,"%"
1,2,2022-03-16,76.4,"%"
1,2,2022-03-17,41.4,"%"
1,2,2022-03-18,55.4,"%"
1,2,2022-03-19,55.4,"%"
1,2,2022-03-20,72.4,"%"
1,2,2022-03-21,64.4,"%"
1,2,2022-03-22,81.4,"%"
1,2,2022-03-23,50.4,"%"
1,2,2022-03-24,87.4,"%"
1,2,2022-03-25,83.4,"%"
1,2,2022-03-26,82.4,"%"
1,2,2022-03-27,67.4,"%"
1,2,2022-03-28,37.4,"%"
1,2,2022-03-29,46.4,"%"
1,2,2022-03-30,38.4,"%"
1,2,2022-03-31,87.4,"%"
1,2,2022-04-01,84.4,"%"
1,2,2022-04-02,58.4,"%"
1,2,2022-04-03,85.4,"%"
1,2,2022-04-04,55.4,"%"
1,2,2022-04-05,58.4,"%"
1,2,2022-04-06,65.4,"%"
1,2,2022-04-07,79.4,"%"
1,2,2022-04-08,58.4,"%"
1,2,2022-04-09,56.4,"%"
1,2,2022-04-10,68.4,"%"
1,2,2022-04-11,73.4,"%"
1,2,2022-04-12,81.4,"%"
1,2,2022-04-13,63.4,"%"
1,2,2022-04-14,45.4,"%"
1,2,2022-04-15,64.4,"%"
1,2,2022-04-16,79.4,"%"
1,2,2022-04-17,63.4,"%"
1,2,2022-04-18,68.4,"%"
1,2,2022-04-19,47.4,"%"
1,2,2022-04-20,62.4,"%"
1,2,2022-04-21,65.4,"%"
1,2,2022-04-22,40.4,"%"
1,2,2022-04-23,36.4,"%"
1,2,2022-04-24,56.4,"%"
1,2,2022-04-25,87.4,"%"
1,2,2022-04-26,48.4,"%"
1,2,2022-04-27,54.4,"%"
1,2,2022-04-28,70.4,"%"
1,2,2022-04-29,41.4,"%"
1,2,2022-04-30,84.4,"%"
1,2,2022-05-01,43.4,"%"
1,2,2022-05-02,83.4,"%"
1,2,2022-05-03,75.4,"%"
1,2,2022-05-04,77.4,"%"
1,2,2022-05-05,67.4,"%"
1,2,2022-05-06,43.4,"%"
1,2,2022-05-07,55.4,"%"
1,2,2022-05-08,45.4,"%"
1,2,2022-05-09,53.4,"%"
1,2,2022-05-10,79.4,"%"
1,2,2022-05-11,50.4,"%"
1,2,2022-05-12,79.4,"%"
1,2,2022-05-13,87.4,"%"
1,2,2022-05-14,68.4,"%"
1,2,2022-05-15,73.4,"%"
1,2,2022-05-16,79.4,"%"
1,2,2022-05-17,84.4,"%"
1,2,2022-05-18,63.4,"%"
1,2,2022-05-19,48.4,"%"
1,2,2022-05-20,57.4,"%"
1,2,2022-05-21,82.4,"%"
1,2,2022-05-22,56.4,"%"
1,2,2022-05-23,76.4,"%"
1,2,2022-05-24,40.4,"%"
1,2,2022-05-25,62.4,"%"
1,2,2022-05-26,48.4,"%"
1,2,2022-05-27,56.4,"%"
1,2,2022-05-28,59.4,"%"
1,2,2022-05-29,71.4,"%"
1,2,2022-05-30,79.4,"%"
1,2,2022-05-31,65.4,"%"
1,2,2022-06-01,40.4,"%"
1,2,2022-06-02,60.4,"%"
1,2,2022-06-03,75.4,"%"
1,2,2022-06-04,38.4,"%"
1,2,2022-06-05,39.4,"%"
1,2,2022-06-06,49.4,"%"
1,2,2022-06-07,57.4,"%"
1,2,2022-06-08,65.4,"%"
